name,frequency
god,1354
jesus,983
lord,711
hath,557
christ,555
thee,483
son,422
thy,416
father,352
day,316
saith,307
spirit,261
heaven,255
heard,248
faith,245
disciples,243
brethren,231
people,231
called,229
law,223
behold,222
house,206
word,206
answered,203
earth,192
dead,187
life,186
holy,181
love,179
glory,177
jews,175
paul,170
time,170
days,169
cast,167
speak,161
peter,160
hand,158
kingdom,158
children,157
city,152
power,152
flesh,149
hear,145
jerusalem,144
hast,143
death,138
john,136
spake,136
body,135
eat,135
art,133
brought,133
evil,132
written,132
grace,131
receive,128
received,128
verily,124
cometh,123
voice,119
pass,118
truth,118
temple,117
brother,115
sin,112
chief,111
peace,111
whosoever,110
hands,107
shalt,107
woman,106
gospel,105
heart,105
wherefore,104
blood,101
gentiles,99
righteousness,99
ghost,98
sea,98
angel,97
sat,96
light,95
believed,94
spoken,91
stood,91
prophets,90
hour,89
multitude,89
pharisees,89
priests,89
king,87
mother,86
sins,86
blessed,85
departed,85
laid,85
bring,84
fear,84
fell,84
set,84
wife,84
angels,83
servant,82
bread,80
moses,80
feet,78
thine,78
church,77
fathers,76
judgment,76
eyes,75
israel,75
left,74
delivered,73
master,72
witness,72
mouth,71
prophet,71
priest,70
servants,70
water,70
whatsoever,70
abraham,69
drink,69
entered,69
simon,69
live,68
pray,68
coming,67
cried,67
fruit,67
judge,67
galilee,66
shew,66
enter,65
save,65
send,65
suffer,65
walk,65
yea,65
ship,64
beloved,63
joy,63
commanded,62
hearts,62
night,62
scribes,62
apostles,61
baptized,61
devil,61
saints,61
told,61
bear,60
child,60
elders,60
hope,60
preached,60
sabbath,60
sake,60
filled,59
head,59
manner,59
mercy,59
david,58
doth,57
fulfilled,57
meat,57
saved,57
seek,57
commandment,56
mind,56
pilate,56
raised,56
wise,56
honour,55
seed,55
write,55
faithful,54
mary,54
stand,54
true,54
worthy,54
arose,53
blind,53
sight,53
wisdom,53
knowledge,52
rise,52
thyself,52
amen,51
darkness,51
devils,51
follow,51
stone,51
throne,51
land,50
sick,50
tree,50
born,49
knowing,49
lay,49
beast,48
country,48
die,48
kill,47
preach,47
wrath,47
healed,46
hold,46
taught,46
begat,45
doctrine,45
eternal,45
midst,45
nigh,45
promise,45
rejoice,45
salvation,45
james,44
rest,44
women,44
worship,44
doeth,43
gathered,43
judaea,43
prison,43
righteous,43
sit,43
synagogue,43
book,42
knoweth,42
loved,42
named,42
perfect,42
ready,42
sheep,42
believeth,41
resurrection,41
fall,40
herod,40
living,40
rich,40
woe,40
bound,39
depart,39
feast,39
husband,39
mans,39
shewed,39
sought,39
soul,39
gift,38
manifest,38
straightway,38
suffered,38
wilt,38
churches,37
crucified,37
generation,37
glorified,37
mighty,37
nations,37
wine,37
eye,36
fast,36
kings,36
passed,36
reward,36
satan,36
vain,36
afraid,35
authority,35
circumcision,35
died,35
epistle,35
heed,35
poor,35
sepulchre,35
wilderness,35
desire,34
killed,34
minister,34
patience,34
prayed,34
speaketh,34
teach,34
apostle,33
besought,33
destroy,33
dwell,33
joseph,33
judas,33
looked,33
loud,33
philip,33
serve,33
tongue,33
abide,32
commandments,32
door,32
ears,32
false,32
fornication,32
lo,32
parable,32
salute,32
sinners,32
sons,32
spirits,32
testimony,32
unclean,32
answering,31
conscience,31
cup,31
justified,31
lamb,31
nation,31
prayer,31
receiveth,31
risen,31
scripture,31
sword,31
beasts,30
beseech,30
chosen,30
elias,30
goeth,30
judged,30
lawful,30
led,30
perish,30
returned,30
sign,30
sun,30
watch,30
weak,30
barnabas,29
daughter,29
deliver,29
disciple,29
nazareth,29
taketh,29
times,29
white,29
worshipped,29
answer,28
charity,28
clothed,28
cross,28
drew,28
forgive,28
ground,28
measure,28
mountain,28
offered,28
passover,28
read,28
strong,28
understand,28
appeared,27
committed,27
loveth,27
remember,27
spiritual,27
standing,27
tongues,27
trust,27
whereof,27
wind,27
ashamed,26
commit,26
desired,26
everlasting,26
gold,26
image,26
jacob,26
lifted,26
macedonia,26
obey,26
pleased,26
praise,26
preaching,26
riches,26
saul,26
sold,26
sound,26
worketh,26
broken,25
exceeding,25
field,25
giveth,25
gods,25
hearing,25
leave,25
liveth,25
repentance,25
revealed,25
sitting,25
soldiers,25
synagogues,25
witnesses,25
abode,24
comfort,24
company,24
eateth,24
egypt,24
forbid,24
forgiven,24
governor,24
labour,24
lie,24
lusts,24
repent,24
rose,24
sacrifice,24
saviour,24
touched,24
understanding,24
vineyard,24
wicked,24
adultery,23
altar,23
appointed,23
captain,23
dwelleth,23
foundation,23
gather,23
gifts,23
heareth,23
heavenly,23
lords,23
meet,23
miracles,23
money,23
morrow,23
mount,23
names,23
prepared,23
record,23
remembrance,23
season,23
signs,23
teaching,23
troubled,23
wrought,23
baptism,22
beheld,22
bringeth,22
continue,22
council,22
cut,22
daily,22
deeds,22
jew,22
knowest,22
loaves,22
mystery,22
partakers,22
prayers,22
pure,22
ruler,22
rulers,22
seeth,22
wrote,22
asia,21
bare,21
bed,21
caesar,21
compassion,21
esaias,21
glad,21
maketh,21
marvelled,21
multitudes,21
parents,21
presence,21
raiment,21
sayest,21
sayings,21
scriptures,21
sealed,21
sleep,21
walked,21
abideth,20
centurion,20
clothes,20
confidence,20
covenant,20
ear,20
garment,20
heavens,20
isaac,20
speaking,20
tabernacle,20
antioch,19
astonished,19
betrayed,19
calling,19
carried,19
charged,19
cities,19
clean,19
cloud,19
counsel,19
crying,19
deny,19
enemies,19
feared,19
fishes,19
friends,19
heads,19
heal,19
henceforth,19
loosed,19
lose,19
ministered,19
ordained,19
raise,19
reason,19
rebuked,19
souls,19
tribe,19
tribulation,19
understood,19
abound,18
afar,18
afterward,18
alive,18
bonds,18
charge,18
christs,18
conversation,18
declare,18
destroyed,18
divided,18
dwelt,18
greatly,18
inheritance,18
insomuch,18
journey,18
liberty,18
linen,18
met,18
ministry,18
moved,18
offend,18
persuaded,18
pleasure,18
root,18
silver,18
slain,18
stones,18
whereunto,18
air,17
betray,17
caesarea,17
calleth,17
caught,17
command,17
condemned,17
confess,17
ephesus,17
fallen,17
foolish,17
gain,17
glorify,17
hypocrites,17
idols,17
mark,17
marriage,17
marry,17
morning,17
offended,17
offer,17
precious,17
publicans,17
purpose,17
reign,17
shut,17
sinned,17
strength,17
subject,17
tempted,17
timotheus,17
touching,17
trouble,17
unrighteousness,17
washed,17
weep,17
wherewith,17
wonders,17
amazed,16
beware,16
brake,16
build,16
capernaum,16
comforted,16
continued,16
corrupt,16
crucify,16
declared,16
denied,16
divers,16
exhort,16
fig,16
friend,16
garments,16
hate,16
held,16
husbandmen,16
iniquity,16
lost,16
masters,16
months,16
neighbour,16
offence,16
rule,16
sanctified,16
secret,16
shame,16
smote,16
sorrow,16
sown,16
space,16
stars,16
thorns,16
thrust,16
touch,16
treasure,16
unbelief,16
uncircumcision,16
wait,16
walking,16
waters,16
accuse,15
begotten,15
bondage,15
bridegroom,15
circumcised,15
coasts,15
counted,15
crown,15
damascus,15
deceive,15
doest,15
dost,15
draw,15
dumb,15
fellowship,15
fled,15
flee,15
foot,15
fruits,15
gate,15
godliness,15
golden,15
greet,15
hair,15
jordan,15
lazarus,15
loose,15
matter,15
naked,15
parables,15
possessed,15
prepare,15
prophecy,15
prophesy,15
repented,15
sailed,15
seal,15
service,15
sister,15
sitteth,15
speech,15
strangers,15
tarry,15
temptation,15
testament,15
testify,15
thereon,15
thief,15
thither,15
vision,15
voices,15
war,15
weeping,15
abundance,14
accord,14
affliction,14
baptist,14
bodies,14
bought,14
built,14
care,14
ceased,14
consolation,14
contrary,14
damsel,14
determined,14
exalted,14
forasmuch,14
greeks,14
hurt,14
ignorant,14
inherit,14
learn,14
lust,14
perceive,14
perceived,14
persecuted,14
powers,14
praying,14
promised,14
question,14
rejoiced,14
sacrifices,14
sadducees,14
sakes,14
seat,14
shepherd,14
shouldest,14
sixth,14
supper,14
swine,14
tarried,14
testified,14
titus,14
wash,14
widows,14
wives,14
womb,14
worse,14
alms,13
andrew,13
beat,13
blessing,13
branches,13
burned,13
casting,13
common,13
corruption,13
count,13
creature,13
deceived,13
despise,13
dragon,13
elect,13
festus,13
fulfil,13
fulness,13
gates,13
glorious,13
harvest,13
hated,13
holiness,13
household,13
houses,13
husbands,13
lead,13
leaven,13
longsuffering,13
martha,13
