name,frequency
alyosha,1176
mitya,814
father,723
ivan,677
time,669
suddenly,584
cried,476
love,457
money,420
heart,371
life,369
dmitri,368
moment,367
god,364
day,360
told,359
smerdyakov,342
fyodorovitch,333
looked,328
grushenka,327
eyes,320
people,305
fyodor,301
brother,260
pavlovitch,258
understand,257
hand,248
heard,243
left,235
hands,233
mind,224
house,216
speak,214
word,212
katerina,208
gentlemen,206
woman,206
remember,205
boy,203
town,200
voice,198
kolya,197
chapter,195
head,193
roubles,187
simply,186
ivanovna,185
rakitin,185
elder,183
night,175
grigory,170
afraid,169
mother,167
karamazov,166
prosecutor,166
alexey,163
brought,163
days,162
stood,160
question,158
forgive,157
happened,157
soul,157
door,156
children,154
true,152
feeling,145
murder,145
minute,144
ilusha,141
fathers,137
prisoner,137
truth,137
earth,136
hear,136
tears,136
called,135
evidence,135
lise,135
sort,135
table,133
pyotr,132
answer,129
sat,128
talk,127
strange,126
answered,125
doctor,125
son,125
laughed,124
morning,124
hour,123
idea,123
sitting,123
child,122
monastery,122
times,122
blood,119
church,117
captain,115
talking,115
coming,114
death,114
laughing,114
lady,112
madame,112
poor,111
boys,110
set,110
tomorrow,110
listen,109
read,109
ready,109
letter,108
story,108
nikolay,107
court,106
feel,106
loved,106
silent,106
bed,104
evening,104
kill,104
smile,104
angry,103
killed,103
mityas,102
struck,102
yesterday,102
terrible,101
lay,98
leave,98
monk,98
russian,98
faith,97
parfenovitch,97
reason,97
bring,96
doubt,96
secret,96
wife,96
window,96
moscow,94
ilyitch,93
drunk,92
holy,92
matter,92
sit,92
straight,92
dead,91
notes,91
wait,90
light,89
stay,89
zossima,88
observed,87
business,86
envelope,86
laugh,86
lost,86
note,86
questions,86
sudden,86
thinking,86
live,85
lying,85
pass,85
women,85
honor,84
meant,84
peasant,84
scoundrel,83
suffering,83
ashamed,82
fell,82
garden,82
hohlakov,82
remembered,82
spoke,82
forgotten,81
monks,81
silence,81
rest,80
short,80
spite,80
brothers,78
talked,78
contrary,77
girl,77
speaking,77
family,76
impossible,76
lie,76
lord,76
murdered,76
russia,76
shouted,76
standing,76
suppose,76
walked,76
care,75
chair,75
haste,75
late,75
mamma,75
send,75
glad,74
ladies,74
passed,74
sake,74
awful,73
broke,73
fond,73
purpose,73
smiled,73
account,72
dark,72
exclaimed,72
miüsov,72
position,72
dream,71
met,71
month,71
thee,71
carried,70
character,70
completely,70
corner,70
feet,70
lips,70
object,70
expression,69
living,69
sofa,69
muttered,68
save,68
devil,67
kalganov,67
noticed,67
païssy,67
repeated,67
servant,67
air,66
fellow,66
goodby,66
heaven,66
hold,66
katya,66
peasants,66
conversation,65
crime,65
dog,65
happy,65
nonsense,65
person,65
sir,65
stupid,65
waiting,65
fit,64
friend,64
friends,64
maximov,64
positively,64
believed,63
creature,63
kiss,63
krassotkin,63
stand,63
alyoshas,62
book,62
cell,62
conscience,62
fear,62
joy,62
pocket,62
rushed,62
drink,61
forget,61
instant,61
meet,61
murderer,61
opinion,61
written,61
criminal,60
explain,60
mokroe,60
nature,60
sum,60
telling,60
crying,59
girls,59
listened,59
mans,59
perfectly,59
received,59
speech,59
stopped,59
bread,58
floor,58
jury,58
marry,58
sin,58
surprised,58
write,58
caught,57
fall,57
fenya,57
pale,57
president,57
pulled,57
real,57
weak,57
clever,56
instance,56
marfa,56
spent,56
unhappy,56
beg,55
close,55
fancy,55
fool,55
kissed,55
steps,55
surprise,55
witnesses,55
arms,54
bit,54
die,54
freedom,54
ground,54
knowing,54
worth,54
aloud,53
appeared,53
asleep,53
bear,53
future,53
glass,53
jealous,53
repeat,53
thy,53
witness,53
cross,52
decided,52
entered,52
guilty,52
jumped,52
master,52
moved,52
scene,52
smurov,52
society,52
spirit,52
strong,52
water,52
angel,51
damn,51
led,51
