name,frequency
para,542
como,371
minha,342
capitú,340
mais,340
elle,239
dias,191
quando,190
tambem,189
tudo,187
ella,185
casa,169
olhos,164
josé,160
assim,158
depois,151
muito,151
agora,146
ainda,140
outra,138
nada,132
você,132
tempo,120
disse,119
mesmo,119
padre,111
escobar,110
outro,106
então,101
cousa,96
esta,95
isto,91
este,88
porque,88
antes,87
aqui,87
dizer,87
seminario,85
vida,85
della,83
melhor,83
logo,82
palavras,79
póde,78
ideia,77
pouco,75
filho,74
outros,74
alguma,72
annos,72
podia,72
todos,72
verdade,72
deus,69
homem,67
tanto,67
grande,66
pela,66
alguns,64
commigo,64
prima,63
cabeça,62
dous,61
quiz,61
meus,60
isso,59
pois,58
seus,58
gloria,57
todas,57
algum,56
bentinho,56
mamãe,56
mesma,55
cosme,54
justina,54
tarde,54
outras,53
porta,53
quem,53
duas,51
ezequiel,51
palavra,51
sempre,50
senhor,50
todo,50
entre,49
falar,49
primeiro,49
menos,48
pelo,48
elles,46
coração,45
creio,45
gesto,45
nunca,44
queria,44
amigo,43
resto,43
saber,43
delle,42
depressa,42
fazer,42
noite,42
padua,42
onde,41
pessoa,41
primeira,41
sala,41
capitulo,40
naturalmente,40
fóra,39
gente,39
toda,39
mãos,38
ouvi,38
algumas,37
alma,37
mundo,37
nosso,37
preciso,37
senhora,37
veiu,37
vezes,37
bocca,36
dentro,36
havia,36
sobre,36
velho,36
alli,35
aquella,35
certo,35
disseme,35
meio,35
pessoas,35
quasi,35
sancha,35
cara,34
caso,34
parte,34
razão,34
filha,33
morte,33
suas,33
talvez,33
desde,32
digo,32
entrar,32
fiquei,32
tres,32
vamos,32
cabral,31
gosto,31
longe,31
mulher,31
quer,31
sair,31
achei,30
estar,30
livro,30
modo,30
muita,30
ninguem,30
papae,30
aggregado,29
anno,29
falava,29
hora,29
minutos,29
vinha,29
acabou,28
graça,28
missa,28
papel,28
simples,28
trazia,28
vocação,28
vontade,28
costume,27
cousas,27
devia,27
dizia,27
lado,27
livros,27
ponto,27
promessa,27
sabia,27
amiga,26
contrario,26
mezes,26
parece,26
qualquer,26
apenas,25
esse,25
ficar,25
janella,25
manhã,25
moça,25
nova,25
realmente,25
taes,25
cada,24
ficou,24
horas,24
protonotario,24
quanto,24
cama,23
fica,23
maior,23
matacavallos,23
medo,23
nenhuma,23
posto,23
sabe,23
saiu,23
senti,23
