name,frequency
rubião,696
elle,424
sophia,339
maria,222
ella,215
capitulo,212
casa,212
olhos,188
ainda,178
tudo,170
nada,169
bem,168
outra,164
palha,158
podia,146
ia,142
disse,140
homem,140
outro,140
cousa,135
porque,135
amigo,133
ha,126
rua,125
vez,124
tão,123
aqui,119
assim,119
tempo,118
agora,116
tambem,116
lá,112
marido,109
carlos,108
logo,108
ás,106
senhor,104
benedicta,102
alguns,101
dia,100
quincas,96
pouco,94
mulher,93
alguma,92
borba,92
fernanda,92
ver,91
mal,88
onde,88
cousas,87
dizer,87
menos,87
então,86
sim,85
todos,84
cabeça,83
mão,83
senhora,82
mesma,81
alli,79
verdade,79
dous,78
pé,77
antes,76
noite,76
outros,76
duas,74
grande,74
pessoa,73
todas,73
alma,71
bom,71
algum,69
delle,69
carta,68
dias,68
melhor,68
camacho,67
porta,64
sala,64
mãos,63
póde,63
deu,61
viu,61
major,60
palavras,60
gente,58
outras,58
certo,56
fez,56
horas,56
nunca,56
respondeu,56
perguntou,55
della,54
annos,53
nome,53
tal,53
tanto,53
toda,53
vida,52
algumas,51
chegou,51
minutos,51
sempre,51
vae,51
caso,50
preciso,50
sabe,50
tarde,50
dar,49
ficou,49
ideia,49
tres,49
cão,48
parece,48
talvez,48
veiu,48
estar,47
moça,47
proprio,47
vezes,47
parecia,46
voz,46
lado,45
meio,45
cachorro,44
continuou,44
mãe,43
sei,43
vou,43
pobre,42
pois,42
queria,42
creio,41
desde,41
fim,41
gesto,41
muitas,41
parte,41
prima,41
primeira,41
sobre,41
boa,40
cinco,40
fazer,40
fóra,40
vamos,40
homens,39
jardim,39
tonica,39
acudiu,38
deus,38
disselhe,38
fazia,38
ideias,38
modo,38
quiz,38
theophilo,38
cara,37
longe,37
ninguem,37
ora,37
repetiu,37
vinha,37
aquelle,36
carro,36
entrou,36
grandes,36
iam,35
jantar,35
primeiro,35
todo,35
uns,35
amigos,34
amor,34
cocheiro,34
elles,34
filha,34
olhar,34
palavra,34
quasi,34
quer,34
saber,34
dentro,33
devia,33
dizia,33
pode,33
vista,33
casar,32
dahi,32
hade,32
pensou,32
dinheiro,31
freitas,31
gabinete,31
negocio,31
pessoas,31
achou,30
ambos,30
apenas,30
barbacena,30
deste,30
fallava,30
meia,30
mundo,30
noticia,30
andando,29
christiano,29
concluiu,29
daquella,29
fallar,29
janella,29
passou,29
poucos,29
principio,29
sabia,29
tornou,29
trazia,29
vinte,29
ceu,28
cidade,28
cima,28
delles,28
dez,28
morte,28
quero,28
vem,28
afinal,27
contos,27
dava,27
entrar,27
fallou,27
manhã,27
minas,27
sahiu,27
vá,27
almoço,26
cá,26
dedos,26
diabo,26
digo,26
espirito,26
folha,26
força,26
instantes,26
mezes,26
nomes,26
olhou,26
pae,26
propria,26
quatro,26
senhoras,26
aquella,25
bella,25
corpo,25
ellas,25
embora,25
filho,25
iria,25
muitos,25
nenhuma,25
ouviu,25
papel,25
passar,25
porém,25
pôde,25
razão,25
riso,25
rosto,25
santa,25
seguinte,25
achava,24
bonita,24
começou,24
contrario,24
deante,24
gosto,24
ministro,24
olhando,24
olhava,24
ponto,24
praia,24
quanto,24
roça,24
sair,24
braços,23
coração,23
criado,23
demais,23
dono,23
feito,23
maior,23
muita,23
olhe,23
parou,23
primeiros,23
resto,23
terra,23
volta,23
voltou,23
adeus,22
ahi,22
amiga,22
cedo,22
mar,22
politica,22
velho,22
alguem,21
anda,21
braço,21
casamento,21
desejo,21
emquanto,21
faz,21
fica,21
hora,21
largo,21
ler,21
lua,21
mim,21
naturalmente,21
nenhum,21
occasião,21
padre,21
passeio,21
pensava,21
simples,21
sorrindo,21
vossa,21
amanhã,20
botafogo,20
causa,20
commissão,20
conversação,20
correu,20
crer,20
daqui,20
doente,20
ficar,20
justamente,20
medo,20
ouro,20
passo,20
pediu,20
pernas,20
posso,20
rio,20
sorriu,20
trabalho,20
velha,20
vontade,20
abriu,19
alta,19
baixo,19
batatas,19
cada,19
capaz,19
dado,19
dalli,19
desceu,19
entretanto,19
interrompeu,19
mandou,19
moço,19
ouvir,19
qualquer,19
rapaz,19
retrato,19
silencio,19
vespera,19
vestido,19
vinham,19
vir,19
acabou,18
andar,18
cavallo,18
