name,frequency
que,31884
de,23448
não,18276
um,9240
os,7980
da,7512
mas,7284
se,6816
para,6504
com,6432
eu,6372
em,5556
uma,5232
como,4452
ao,4440
minha,4104
por,4092
capitú,4080
mais,4080
na,3948
ou,3288
nem,2904
elle,2868
lhe,2808
mãe,2724
dos,2388
dias,2292
quando,2280
tambem,2268
tudo,2244
ella,2220
só,2076
casa,2028
meu,2004
ser,2004
já,1968
olhos,1968
mim,1944
josé,1920
assim,1896
ha,1824
depois,1812
muito,1812
vez,1776
agora,1752
das,1728
ainda,1680
outra,1656
sem,1644
nada,1584
você,1584
tempo,1440
tão,1440
disse,1428
mesmo,1428
padre,1332
escobar,1320
dia,1308
outro,1272
até,1224
então,1212
nos,1164
cousa,1152
esta,1140
isto,1092
bem,1080
ia,1068
aos,1056
este,1056
porque,1056
antes,1044
aqui,1044
dizer,1044
seminario,1020
vida,1020
della,996
melhor,996
logo,984
ir,972
mal,972
rua,972
palavras,948
póde,936
ideia,924
pouco,900
tal,900
filho,888
outros,888
ver,888
ás,888
pae,876
alguma,864
annos,864
podia,864
todos,864
verdade,864
deus,828
homem,804
tanto,804
grande,792
pela,792
alguns,768
commigo,768
sim,768
ceu,756
prima,756
cabeça,744
mão,744
dous,732
quiz,732
meus,720
vi,720
isso,708
lá,696
pois,696
seus,696
gloria,684
todas,684
algum,672
bentinho,672
mamãe,672
mesma,660
sei,660
sua,660
ter,660
tio,660
cosme,648
fez,648
justina,648
tarde,648
outras,636
porta,636
quem,636
duas,612
ezequiel,612
palavra,612
fim,600
pé,600
sempre,600
senhor,600
todo,600
entre,588
falar,588
primeiro,588
menos,576
pelo,576
elles,552
seu,552
si,552
coração,540
creio,540
gesto,540
nós,540
nunca,528
queria,528
vae,528
amigo,516
resto,516
saber,516
delle,504
depressa,504
fazer,504
noite,504
padua,504
voz,504
onde,492
pessoa,492
primeira,492
sala,492
capitulo,480
naturalmente,480
dar,468
fóra,468
gente,468
toda,468
mãos,456
nas,456
ouvi,456
algumas,444
alma,444
mundo,444
nosso,444
preciso,444
senhora,444
veiu,444
vezes,444
bocca,432
bom,432
dentro,432
deu,432
havia,432
sobre,432
velho,432
alli,420
aquella,420
certo,420
disseme,420
meio,420
pessoas,420
quasi,420
sancha,420
cara,408
caso,408
parte,408
razão,408
filha,396
morte,396
ora,396
suas,396
talvez,396
desde,384
digo,384
entrar,384
fiquei,384
tres,384
vamos,384
cabral,372
gosto,372
longe,372
mulher,372
quer,372
sair,372
uns,372
achei,360
estar,360
livro,360
modo,360
muita,360
ninguem,360
papae,360
vou,360
aggregado,348
anno,348
falava,348
hora,348
minutos,348
vinha,348
acabou,336
cá,336
graça,336
missa,336
papel,336
simples,336
trazia,336
vocação,336
vontade,336
ar,324
boa,324
costume,324
cousas,324
devia,324
dizia,324
lado,324
livros,324
ponto,324
promessa,324
sabia,324
amiga,312
contrario,312
mezes,312
parece,312
qualquer,312
apenas,300
esse,300
ficar,300
janella,300
manhã,300
moça,300
nova,300
realmente,300
taes,300
cada,288
ficou,288
horas,288
mar,288
protonotario,288
quanto,288
tu,288
cama,276
dei,276
fica,276
fiz,276
maior,276
matacavallos,276
medo,276
nenhuma,276
posto,276
sabe,276
saiu,276
senti,276
dava,264
delles,264
deste,264
europa,264
força,264
grandes,264
latim,264
lembra,264
memoria,264
posso,264
principio,264
amanhã,252
amigos,252
aquelle,252
claro,252
continuou,252
dellas,252
dizendo,252
edade,252
egreja,252
ellas,252
familia,252
fazia,252
haver,252
leitor,252
manduca,252
nenhum,252
pensei,252
pequeno,252
perguntou,252
respondeu,252
vespera,252
vá,252
amor,240
apesar,240
cabellos,240
contar,240
corredor,240
disselhe,240
entrou,240
essa,240
iam,240
instantes,240
nome,240
particular,240
pedir,240
perto,240
quarto,240
quero,240
seguinte,240
segundo,240
sentido,240
vivia,240
acabar,228
ahi,228
andar,228
capaz,228
cheguei,228
daquella,228
daqui,228
doce,228
effeito,228
favor,228
fezse,228
gestos,228
historia,228
hoje,228
ideias,228
jantar,228
lagrimas,228
muitos,228
natural,228
occasião,228
porém,228
possivel,228
pude,228
santa,228
verso,228
vir,228
afinal,216
alguem,216
cima,216
contava,216
desejo,216
discurso,216
escrever,216
faz,216
instante,216
marido,216
morreu,216
neste,216
oh,216
opinião,216
passo,216
pernas,216
proprio,216
pudesse,216
quintal,216
retrato,216
rosto,216
terra,216
via,216
acabava,204
ambos,204
braços,204
chão,204
daquelle,204
desta,204
domingo,204
embora,204
estas,204
falou,204
inteiramente,204
mil,204
naquelle,204
novamente,204
novo,204
parecia,204
peccado,204
quatro,204
rindo,204
silencio,204
velha,204
versos,204
vinte,204
vista,204
achou,192
alto,192
casas,192
causa,192
corri,192
crer,192
emquanto,192
entrei,192
felicidade,192
iria,192
lingua,192
passou,192
pés,192
sentia,192
senão,192
sorriu,192
theatro,192
visitas,192
achava,180
amizade,180
andando,180
antiga,180
atraz,180
bonita,180
bonito,180
