name,frequency
the,30376
and,22698
to,18508
he,15556
of,14578
you,11630
in,11026
that,10970
it,10044
was,9548
his,8684
for,6918
him,6694
but,6468
at,6010
with,5968
not,5794
had,5706
is,4852
on,4660
me,4550
all,4340
as,4256
have,3962
be,3746
her,3730
so,3376
my,3368
she,3312
what,3212
one,3092
from,2958
this,2460
are,2438
they,2412
no,2388
alyosha,2352
will,2326
there,2312
if,2296
by,2276
been,2208
would,2194
up,2136
your,2122
only,2094
were,2020
said,1986
them,1950
out,1906
an,1876
now,1816
its,1786
who,1736
do,1704
know,1684
man,1684
though,1660
about,1646
mitya,1628
how,1578
dont,1568
did,1548
come,1544
when,1528
am,1504
too,1494
we,1478
father,1446
ivan,1354
before,1350
then,1342
time,1338
like,1328
could,1316
more,1310
even,1294
or,1274
has,1272
why,1266
such,1254
which,1240
go,1236
see,1214
very,1170
suddenly,1168
himself,1164
here,1150
into,1150
some,1142
once,1128
thats,1128
say,1126
again,1094
tell,1050
can,1040
must,1038
just,1010
their,988
old,972
cried,952
little,950
love,914
well,910
down,896
went,894
away,884
every,874
last,874
three,874
us,868
shall,844
ill,842
money,840
over,836
after,832
something,810
nothing,806
our,802
perhaps,796
face,794
thought,788
without,780
first,760
never,752
still,748
two,746
any,742
heart,742
life,738
dmitri,736
moment,734
back,732
made,732
began,728
god,728
day,720
told,718
ive,710
off,700
believe,696
let,688
smerdyakov,684
take,684
good,682
may,674
long,672
than,672
fyodorovitch,666
yes,662
grushenka,656
looked,656
great,654
make,642
eyes,640
should,638
give,634
other,618
people,610
almost,606
fyodor,602
came,592
most,590
look,588
much,588
yet,588
way,586
want,580
whole,578
might,576
wont,576
oh,572
another,564
thousand,564
think,556
own,554
asked,552
put,552
im,550
myself,546
because,544
same,544
where,538
get,536
always,534
course,534
everything,532
brother,520
going,518
pavlovitch,516
understand,514
upon,504
hand,496
young,494
heard,486
right,486
quite,474
left,470
hands,466
those,464
room,462
got,456
knew,456
mind,448
didnt,444
hes,442
house,432
speak,428
words,426
word,424
seemed,418
being,416
katerina,416
cant,414
anything,412
gentlemen,412
looking,412
woman,412
remember,410
boy,406
town,400
yourself,398
voice,396
years,396
kolya,394
men,394
felt,392
chapter,390
many,390
took,388
head,386
turned,382
fact,376
saw,376
roubles,374
simply,372
ivanovna,370
rakitin,370
these,370
elder,366
ever,366
theres,366
really,362
place,360
world,360
better,352
dear,352
against,350
night,350
ran,348
thing,344
grigory,340
through,340
afraid,338
both,336
soon,336
mother,334
whom,334
karamazov,332
prosecutor,332
ask,328
taken,328
alexey,326
brought,326
days,324
till,324
stood,320
while,318
question,316
find,314
forgive,314
happened,314
soul,314
door,312
already,308
children,308
youve,308
end,306
new,306
seen,306
true,304
afterwards,302
mean,300
case,296
used,296
things,294
feeling,290
hundred,290
murder,290
does,288
minute,288
done,286
since,284
ilusha,282
thou,282
kept,278
gave,276
fathers,274
open,274
prisoner,274
truth,274
earth,272
hear,272
tears,272
called,270
evidence,270
indeed,270
lise,270
sort,270
later,266
table,266
whether,266
alone,264
pyotr,264
sent,262
answer,258
given,256
sat,256
today,256
rather,254
talk,254
strange,252
wanted,252
answered,250
doctor,250
else,250
found,250
son,250
laughed,248
morning,248
round,248
having,246
hour,246
idea,246
sitting,246
youre,246
ah,244
child,244
monastery,244
times,244
gone,242
run,242
whats,240
blood,238
church,238
home,238
under,238
enough,236
keep,236
sometimes,236
captain,230
half,230
talking,230
coming,228
death,228
laughing,228
ago,226
lady,224
madame,224
far,222
poor,222
boys,220
need,220
set,220
tomorrow,220
listen,218
read,218
ready,218
added,216
letter,216
story,216
become,214
nikolay,214
youll,214
court,212
feel,212
loved,212
side,212
silent,212
certain,210
among,208
bed,208
doing,208
evening,208
kill,208
part,208
smile,208
angry,206
killed,206
five,204
mityas,204
struck,204
yesterday,204
hell,202
terrible,202
monk,198
russian,198
show,198
known,196
lay,196
leave,196
faith,194
parfenovitch,194
reason,194
bring,192
doubt,192
secret,192
wife,192
window,192
next,190
help,188
